ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
"14,108.82",1.95%,,,"34,807.46",0.74%,,,"4,511.61",1.13%,,,"2,710.00",0.89%,924.67,0.68%,,,,,,,,,22.940001,,44.0,"3,445.90",0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,922.60",-1.32%,,,"34,358.50",-1.29%,,,"4,456.23",-1.23%,,,"2,735.05",0.92%,930.57,0.64%,,,,,,,,,23.57,,45.0,"3,360.30",-2.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,191.84",1.93%,,,"34,707.94",1.02%,,,"4,520.16",1.43%,,,"2,729.66",-0.20%,931.75,0.13%,,,,,,,,,21.67,,47.0,"3,532.70",5.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,169.30",-0.16%,,,"34,861.24",0.44%,,,"4,543.04",0.51%,,,"2,729.98",0.01%,934.69,0.32%,,,,,,,,,20.809999,,49.0,"3,525.30",-0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,354.90",1.31%,,,"34,955.89",0.27%,,,"4,575.52",0.71%,,,"2,729.56",-0.02%,927.11,-0.81%,,,,,,,,,19.629999,,51.0,"3,547.20",0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,619.64",1.84%,,,"35,294.19",0.97%,,,"4,631.60",1.23%,,,"2,741.07",0.42%,937.83,1.16%,,,,,,,,,18.9,,53.0,"3,625.60",2.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,442.27",-1.21%,,,"35,228.81",-0.19%,,,"4,602.45",-0.63%,,,"2,746.74",0.21%,939.07,0.13%,,,,,,,,,19.33,,52.0,"3,508.60",-3.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,220.52",-1.54%,,,"34,678.35",-1.56%,,,"4,530.41",-1.57%,,,"2,757.65",0.40%,944.53,0.58%,,,,,,,,,20.559999,,58.0,"3,429.00",-2.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,261.50",0.29%,,,"34,818.27",0.40%,,,"4,545.86",0.34%,,,"2,739.85",-0.65%,940.57,-0.42%,,,,,,,,,19.629999,,59.0,"3,366.60",-1.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
