,date,bond_usa_2,open,high,low,bond_usa_2_cr
402,2021-05-04,0.1624,0.164,0.168,0.159,0.00%
403,2021-05-05,0.1546,0.161,0.168,0.153,-4.80%
404,2021-05-06,0.1566,0.159,0.159,0.153,1.29%
405,2021-05-07,0.1468,0.155,0.161,0.135,-6.26%
406,2021-05-09,0.1468,0.1468,0.1468,0.1468,0.00%
407,2021-05-10,0.1548,0.149,0.157,0.143,5.45%
408,2021-05-11,0.1608,0.155,0.163,0.151,3.88%
409,2021-05-12,0.1668,0.163,0.175,0.155,3.73%
410,2021-05-13,0.1569,0.167,0.167,0.157,-5.94%
411,2021-05-14,0.149,0.159,0.159,0.149,-5.04%
412,2021-05-16,0.149,0.149,0.149,0.149,0.00%
413,2021-05-17,0.1551,0.149,0.157,0.143,4.09%
414,2021-05-18,0.1511,0.155,0.157,0.151,-2.58%
415,2021-05-19,0.1592,0.153,0.161,0.145,5.36%
416,2021-05-20,0.1472,0.157,0.159,0.147,-7.54%
417,2021-05-21,0.1553,0.149,0.157,0.147,5.50%
418,2021-05-23,0.1553,0.1553,0.1553,0.1553,0.00%
419,2021-05-24,0.1513,0.153,0.157,0.151,-2.58%
420,2021-05-25,0.1453,0.155,0.155,0.143,-3.97%
421,2021-05-26,0.1485,0.148,0.15,0.143,2.20%
422,2021-05-27,0.1466,0.147,0.152,0.145,-1.28%
423,2021-05-28,0.1406,0.147,0.152,0.139,-4.09%
424,2021-05-31,0.1446,0.1466,0.1466,0.1446,2.84%
425,2021-06-01,0.1486,0.143,0.15,0.143,2.77%
426,2021-06-02,0.1466,0.15,0.151,0.143,-1.35%
427,2021-06-03,0.1584,0.149,0.16,0.147,8.05%
428,2021-06-04,0.1487,0.158,0.164,0.145,-6.12%
429,2021-06-06,0.1507,0.1507,0.1507,0.1507,1.34%
430,2021-06-07,0.1567,0.153,0.157,0.151,3.98%
431,2021-06-08,0.1547,0.159,0.161,0.151,-1.28%
432,2021-06-09,0.1567,0.157,0.159,0.147,1.29%
