,date,ixf,open,high,low,volume,ixf_cr
312,2023-03-20,4331.6,4335.9,4391.6,4309.5,,1.17
313,2023-03-21,4463.6,4442.4,4474.0,4421.9,,3.05
314,2023-03-22,4307.7,4457.4,4469.2,4306.3,,-3.49
315,2023-03-23,4245.1,4304.5,4337.5,4220.5,,-1.45
316,2023-03-24,4290.0,4194.1,4291.5,4182.5,,1.06
317,2023-03-27,4348.9,4394.7,4398.2,4333.6,,1.37
318,2023-03-28,4360.9,4344.1,4374.6,4327.5,,0.28
319,2023-03-29,4416.3,4405.2,4417.6,4376.9,,1.27
320,2023-03-30,4393.0,4456.2,4457.9,4378.3,,-0.53
321,2023-03-31,4455.7,4424.4,4457.4,4406.2,,1.43
322,2023-04-03,4424.2,4455.2,4468.7,4405.3,,-0.71
323,2023-04-04,4378.7,4436.3,4438.5,4340.0,,-1.03
324,2023-04-05,4356.5,4343.5,4364.8,4322.8,,-0.51
325,2023-04-06,4383.1,4358.4,4393.8,4355.3,,0.61
326,2023-04-10,4396.7,4364.4,4400.5,4358.8,,0.31
327,2023-04-11,4424.5,4414.4,4447.2,4404.4,,0.63
328,2023-04-12,4405.8,4449.9,4461.9,4388.3,,-0.42
329,2023-04-13,4440.3,4415.9,4451.2,4395.7,,0.78
330,2023-04-14,4412.4,4471.4,4476.1,4391.4,,-0.63
331,2023-04-17,4462.1,4386.6,4462.1,4369.9,,1.13
332,2023-04-18,4437.3,4470.6,4471.1,4421.5,,-0.55
333,2023-04-19,4494.9,4436.1,4511.9,4427.2,,1.3
334,2023-04-20,4441.8,4463.1,4472.0,4430.1,,-1.18
335,2023-04-21,4409.3,4426.9,4427.3,4374.5,,-0.73
336,2023-04-24,4377.0,4410.1,4414.7,4369.9,,-0.73
337,2023-04-25,4268.9,4336.0,4336.0,4265.9,,-2.47
338,2023-04-26,4238.5,4268.9,4293.2,4222.3,,-0.71
339,2023-04-27,4282.2,4258.7,4288.7,4233.1,,1.03
340,2023-04-28,4332.5,4263.6,4333.9,4259.5,,1.17
341,2023-05-01,4293.7,4330.7,4348.5,4288.5,,-0.9
342,2023-05-02,4150.9,4259.7,4259.7,4104.7,,-3.33
343,2023-05-03,4100.3,4157.2,4201.4,4094.9,,-1.22
344,2023-05-04,4027.4,4038.4,4050.6,3959.0,,-1.78
345,2023-05-05,4163.3,4117.1,4166.5,4101.2,,3.37
346,2023-05-08,4153.5,4195.4,4202.3,4142.7,,-0.24
347,2023-05-09,4137.7,4125.9,4158.1,4107.8,,-0.38
348,2023-05-10,4142.4,4202.1,4203.5,4108.5,,0.11
349,2023-05-11,4105.5,4113.4,4115.5,4081.9,,-0.89
350,2023-05-12,4096.4,4129.1,4129.5,4071.7,,-0.22
351,2023-05-15,4147.9,4104.3,4161.7,4098.8,,1.26
352,2023-05-16,4088.3,4135.3,4148.8,4088.3,,-1.44
353,2023-05-17,4202.5,4125.5,4210.2,4112.6,,2.79
354,2023-05-18,4226.0,4193.0,4233.9,4173.5,,0.56
355,2023-05-19,4190.1,4247.0,4248.9,4169.1,,-0.85
356,2023-05-22,4245.0,4207.3,4255.0,4176.8,,1.31
357,2023-05-23,4219.8,4241.3,4296.0,4219.5,,-0.59
358,2023-05-24,4171.4,4192.3,4195.1,4158.4,,-1.15
359,2023-05-25,4144.8,4159.8,4173.9,4117.4,,-0.64
360,2023-05-26,4181.3,4143.8,4183.7,4129.9,,0.88
361,2023-05-30,4208.9,4195.8,4212.8,4160.3,,0.66
362,2023-05-31,4136.2,4188.9,4193.5,4112.9,,-1.73
363,2023-06-01,4195.9,4149.8,4212.6,4126.3,,1.45
364,2023-06-02,4348.7,4250.8,4354.9,4247.2,,3.64
365,2023-06-05,4286.4,4344.9,4346.4,4274.5,,-1.43
366,2023-06-06,4378.6,4268.0,4397.8,4267.3,,2.15
367,2023-06-07,4436.8,4403.5,4450.0,4382.1,,1.33
368,2023-06-08,4436.5,4414.4,4441.9,4377.3,,-0.01
369,2023-06-09,4419.9,4436.5,4452.4,4411.4,,-0.37
370,2023-06-12,4354.6,4388.2,4410.5,4329.8,,-1.48
371,2023-06-13,4407.0,4371.2,4425.4,4361.8,,1.2
372,2023-06-14,4383.5,4408.9,4438.7,4354.7,,-0.53
373,2023-06-15,4447.9,4357.0,4453.8,4357.0,,1.47
374,2023-06-16,4421.9,4467.4,4468.2,4402.2,,-0.58
375,2023-06-20,4384.4,4398.5,4398.9,4353.6,,-0.85
376,2023-06-21,4348.4,4375.1,4378.1,4348.0,,-0.82
377,2023-06-22,4285.6,4336.6,4336.6,4265.3,,-1.44
378,2023-06-23,4255.5,4244.1,4273.5,4239.7,,-0.7
379,2023-06-26,4259.8,4258.6,4300.6,4258.1,,0.1
380,2023-06-27,4315.3,4276.9,4328.9,4264.9,,1.3
381,2023-06-28,4325.6,4313.3,4329.2,4291.2,,0.24
382,2023-06-29,4378.3,4344.5,4386.6,4343.0,,1.22
383,2023-06-30,4384.4,4416.0,4420.5,4383.1,,0.14
384,2023-07-03,4440.8,4385.6,4448.6,4385.1,,1.29
385,2023-07-05,4391.2,4402.3,4418.1,4368.8,,-1.12
386,2023-07-06,4344.5,4346.4,4347.7,4294.7,,-1.06
387,2023-07-07,4397.1,4344.9,4435.1,4343.8,,1.21
388,2023-07-10,4421.1,4388.5,4445.2,4388.5,,0.55
389,2023-07-11,4487.5,4437.8,4492.3,4431.2,,1.5
390,2023-07-12,4517.4,4538.5,4545.4,4504.5,,0.67
391,2023-07-13,4607.1,4528.7,4609.6,4524.9,,1.98
392,2023-07-14,4565.2,4623.6,4625.1,4549.6,,-0.91
393,2023-07-17,4624.4,4557.0,4638.7,4552.6,,1.3
394,2023-07-18,4708.6,4625.9,4712.2,4625.9,,1.82
395,2023-07-19,4779.7,4728.3,4784.2,4723.8,,1.51
396,2023-07-20,4776.4,4780.3,4783.5,4735.2,,-0.07
397,2023-07-21,4760.0,4803.3,4803.8,4743.2,,-0.34
