,date,ixk,open,high,low,volume,ixk_cr
290,2023-02-22,8730.8701171875,8753.7802734375,8798.3798828125,8675.8896484375,857700,0.04%
291,2023-02-23,8860.330078125,8893.4296875,8904.150390625,8733.9404296875,984300,1.48%
292,2023-02-24,8689.3095703125,8700.4501953125,8734.26953125,8639.0703125,868300,-1.93%
293,2023-02-27,8736.9501953125,8789.66015625,8819.759765625,8722.9404296875,702600,0.55%
294,2023-02-28,8738.1796875,8720.2900390625,8825.8701171875,8704.3701171875,851000,0.01%
295,2023-03-01,8667.4404296875,8737.0595703125,8768.349609375,8658.990234375,785900,-0.81%
296,2023-03-02,8780.8701171875,8605.7197265625,8808.150390625,8604.9599609375,1518400,1.31%
297,2023-03-03,8988.650390625,8839.2900390625,8991.580078125,8828.5595703125,1391200,2.37%
298,2023-03-06,9031.1103515625,9054.9296875,9166.330078125,9024.5595703125,958600,0.47%
299,2023-03-07,8922.83984375,9031.01953125,9069.5595703125,8900.3203125,872700,-1.20%
300,2023-03-08,9005.58984375,8961.099609375,9025.2802734375,8916.0595703125,886100,0.93%
301,2023-03-09,8853.51953125,9017.330078125,9120.419921875,8834.4697265625,916100,-1.69%
302,2023-03-10,8701.2802734375,8848.1103515625,8884.3095703125,8669.259765625,1081800,-1.72%
303,2023-03-13,8778.5400390625,8642.6396484375,8898.6396484375,8596.26953125,1070900,0.89%
304,2023-03-14,9012.3701171875,8905.6103515625,9029.0703125,8880.1298828125,1149500,2.66%
305,2023-03-15,9064.5595703125,8928.900390625,9083.91015625,8881.4599609375,1274000,0.58%
306,2023-03-16,9369.83984375,9039.5302734375,9382.0498046875,9020.76953125,1161000,3.37%
307,2023-03-17,9363.1796875,9370.7802734375,9483.98046875,9303.76953125,1562800,-0.07%
308,2023-03-20,9365.6201171875,9331.76953125,9379.51953125,9246.25,1123600,0.03%
309,2023-03-21,9485.900390625,9413.01953125,9499.4697265625,9343.6298828125,929200,1.28%
