,date,ixtr,open,high,low,volume,ixtr_cr
236,2022-12-02,5723.919921875,5672.009765625,5748.83984375,5640.31982421875,136600,-0.34%
237,2022-12-05,5604.4599609375,5685.14013671875,5691.3701171875,5593.31005859375,165500,-2.09%
238,2022-12-06,5580.93017578125,5607.75,5611.7099609375,5528.39990234375,128600,-0.42%
239,2022-12-07,5524.490234375,5565.66015625,5596.2900390625,5521.39990234375,130300,-1.01%
240,2022-12-08,5542.89013671875,5550.740234375,5593.7001953125,5517.7998046875,111000,0.33%
241,2022-12-09,5535.490234375,5531.58984375,5563.25,5522.60009765625,114400,-0.13%
242,2022-12-12,5690.0,5545.58984375,5697.52978515625,5542.080078125,112800,2.79%
243,2022-12-13,5655.27978515625,5882.89990234375,5882.89990234375,5618.1298828125,210600,-0.61%
244,2022-12-14,5670.1298828125,5677.10009765625,5736.56005859375,5634.509765625,143000,0.26%
245,2022-12-15,5529.83984375,5604.72021484375,5610.91015625,5506.7900390625,137200,-2.47%
246,2022-12-16,5492.02978515625,5458.81982421875,5509.93994140625,5447.66015625,228400,-0.68%
247,2022-12-19,5434.75,5497.68994140625,5514.72998046875,5401.02001953125,126900,-1.04%
248,2022-12-20,5387.9501953125,5422.22998046875,5434.25,5365.08984375,118400,-0.86%
249,2022-12-21,5468.68017578125,5448.669921875,5487.2900390625,5420.10986328125,163600,1.50%
250,2022-12-22,5394.169921875,5423.509765625,5423.5400390625,5312.669921875,141800,-1.36%
251,2022-12-23,5436.68017578125,5389.5498046875,5441.830078125,5379.9599609375,99300,0.79%
252,2022-12-27,5417.02978515625,5432.27978515625,5448.8798828125,5399.89013671875,111800,-0.36%
253,2022-12-28,5322.6298828125,5419.669921875,5432.97998046875,5322.58984375,101500,-1.74%
254,2022-12-29,5393.10009765625,5353.169921875,5420.009765625,5347.81982421875,114100,1.32%
255,2022-12-30,5357.39990234375,5346.56982421875,5375.72998046875,5310.2001953125,116700,-0.66%
256,2023-01-03,5334.81982421875,5388.81982421875,5394.7900390625,5282.169921875,118000,-0.42%
257,2023-01-04,5430.97998046875,5352.91015625,5450.009765625,5349.81005859375,140100,1.80%
258,2023-01-05,5386.39013671875,5394.77001953125,5412.89013671875,5357.68994140625,118800,-0.82%
259,2023-01-06,5586.72998046875,5438.08984375,5601.08984375,5435.66015625,111100,3.72%
260,2023-01-09,5635.27978515625,5607.77978515625,5706.43017578125,5607.22021484375,132700,0.87%
261,2023-01-10,5691.7001953125,5613.35986328125,5692.06982421875,5594.4501953125,119900,1.00%
262,2023-01-11,5755.85986328125,5709.83984375,5757.06982421875,5697.009765625,145000,1.13%
263,2023-01-12,5829.6298828125,5781.77978515625,5835.89013671875,5747.4501953125,289400,1.28%
264,2023-01-13,5839.56005859375,5769.43017578125,5841.72021484375,5766.64990234375,279500,0.17%
265,2023-01-17,5835.06005859375,5844.64013671875,5868.18994140625,5821.7900390625,169900,-0.08%
266,2023-01-18,5795.10986328125,5872.64990234375,5963.6298828125,5793.9599609375,193300,-0.68%
267,2023-01-19,5719.27001953125,5757.77978515625,5769.7998046875,5691.8798828125,141900,-1.31%
268,2023-01-20,5812.6201171875,5742.1201171875,5813.5,5709.72021484375,148100,1.63%
269,2023-01-23,5887.330078125,5824.60009765625,5932.64013671875,5809.14013671875,131800,1.29%
270,2023-01-24,5927.919921875,5869.91015625,5944.0,5834.990234375,127200,0.69%
271,2023-01-25,5890.25,5870.7099609375,5913.6201171875,5802.64013671875,137100,-0.64%
272,2023-01-26,5856.3798828125,5906.68994140625,5913.2998046875,5779.5400390625,176100,-0.58%
273,2023-01-27,5901.22021484375,5842.8701171875,5945.740234375,5842.1298828125,186500,0.77%
274,2023-01-30,5789.47998046875,5841.22998046875,5898.47021484375,5782.9501953125,134900,-1.89%
275,2023-01-31,5926.83984375,5816.259765625,5927.93017578125,5807.240234375,130500,2.37%
276,2023-02-01,6129.5400390625,5954.5,6175.7998046875,5954.02001953125,151700,3.42%
277,2023-02-02,6260.10986328125,6151.10986328125,6327.64990234375,6147.2900390625,208700,2.13%
278,2023-02-03,6212.31005859375,6177.740234375,6260.830078125,6158.330078125,150000,-0.76%
279,2023-02-06,6182.72998046875,6193.83984375,6209.35986328125,6160.68017578125,124600,-0.48%
280,2023-02-07,6226.9599609375,6164.27001953125,6242.22998046875,6124.85009765625,124500,0.72%
281,2023-02-08,6178.35009765625,6230.93017578125,6238.41015625,6160.93994140625,127000,-0.78%
282,2023-02-09,6057.52001953125,6222.669921875,6228.4599609375,6047.97998046875,132100,-1.96%
283,2023-02-10,6039.1201171875,6014.60009765625,6058.77978515625,6004.18017578125,125000,-0.30%
284,2023-02-13,6082.240234375,6011.8798828125,6085.89990234375,6009.77001953125,238900,0.71%
285,2023-02-14,6119.14990234375,6055.080078125,6130.14990234375,6019.83984375,179100,0.61%
286,2023-02-15,6152.0400390625,6061.35009765625,6157.56005859375,6054.2998046875,160000,0.54%
287,2023-02-16,6070.06982421875,6063.58984375,6125.8701171875,6051.60009765625,129700,-1.33%
