,date,wti,open,high,low,volume,wti_cr
572,2022-03-03,107.67,111.33,116.57,106.43,592.03K,-2.65%
573,2022-03-04,115.68,107.96,116.02,107.25,493.88K,+7.44%
574,2022-03-07,119.4,121.33,130.5,115.54,576.02K,+3.22%
575,2022-03-08,123.7,120.67,129.44,117.07,583.11K,+3.60%
576,2022-03-09,108.7,124.66,126.84,103.63,594.77K,-12.13%
577,2022-03-10,106.02,110.41,114.88,105.53,437.92K,-2.47%
578,2022-03-11,109.33,105.99,110.29,104.48,368.19K,+3.12%
579,2022-03-14,103.01,109.42,109.72,99.76,344.18K,-5.78%
580,2022-03-15,96.44,102.28,102.58,93.53,401.69K,-6.38%
581,2022-03-16,95.04,95.23,99.22,94.07,293.95K,-1.45%
582,2022-03-17,102.98,95.34,104.24,94.85,210.76K,+8.35%
583,2022-03-18,104.7,103.62,106.28,102.3,74.25K,+1.67%
584,2022-03-21,112.12,105.13,112.69,104.08,77.22K,+7.09%
585,2022-03-22,111.76,112.9,115.01,109.3,22.94K,-0.32%
586,2022-03-23,114.93,108.85,115.4,108.38,289.18K,+2.84%
587,2022-03-24,112.34,114.47,116.64,110.61,307.24K,-2.25%
588,2022-03-25,113.9,111.75,114.12,108.68,320.30K,+1.39%
589,2022-03-28,105.96,112.92,112.93,102.83,372.25K,-6.97%
590,2022-03-29,104.24,103.47,107.84,98.44,387.20K,-1.62%
591,2022-03-30,107.82,105.24,108.75,104.55,284.54K,+3.43%
592,2022-03-31,100.28,107.45,107.8,99.66,450.85K,-6.99%
593,2022-04-01,99.27,101.23,101.75,97.78,324.78K,-1.01%
594,2022-04-04,103.28,98.95,103.94,98.05,288.13K,+4.04%
595,2022-04-05,101.96,103.66,105.59,99.88,280.28K,-1.28%
596,2022-04-06,96.23,101.24,104.02,95.73,366.04K,-5.62%
597,2022-04-07,96.03,97.16,98.82,93.81,367.32K,-0.21%
598,2022-04-08,98.26,97.17,98.76,95.29,310.08K,+2.32%
599,2022-04-11,94.29,98.4,98.52,92.93,315.87K,-4.04%
600,2022-04-12,100.6,95.17,101.35,94.84,329.04K,+6.69%
601,2022-04-13,104.25,100.91,104.47,99.87,312.50K,+3.63%
602,2022-04-14,106.95,104.2,107.64,102.12,244.95K,+2.59%
603,2022-04-18,108.21,107.03,109.81,106.0,68.49K,+1.18%
604,2022-04-19,102.56,107.75,108.92,102.1,71.79K,-5.22%
605,2022-04-20,102.75,103.05,104.16,100.7,17.02K,+0.19%
606,2022-04-21,103.79,102.5,105.42,102.01,280.32K,+1.01%
607,2022-04-22,102.07,104.07,104.22,101.06,246.12K,-1.66%
608,2022-04-25,98.54,101.38,101.55,95.28,328.15K,-3.46%
609,2022-04-26,101.7,98.64,102.78,97.06,351.85K,+3.21%
610,2022-04-27,102.02,101.76,102.99,99.8,278.78K,+0.31%
611,2022-04-28,105.36,102.11,105.68,100.13,312.06K,+3.27%
612,2022-04-29,104.69,105.17,107.99,103.78,294.39K,-0.64%
613,2022-05-02,105.17,104.0,105.94,100.28,261.88K,+0.46%
614,2022-05-03,102.41,105.08,105.8,102.1,239.27K,-2.62%
615,2022-05-04,107.81,103.5,108.61,102.95,272.91K,+5.27%
616,2022-05-05,108.26,107.58,111.37,106.45,286.92K,+0.42%
617,2022-05-06,109.77,108.7,111.18,107.24,294.28K,+1.39%
618,2022-05-09,103.09,110.43,110.49,102.13,368.18K,-6.09%
619,2022-05-10,99.76,102.65,104.16,98.86,389.75K,-3.23%
620,2022-05-11,105.71,99.0,106.44,98.2,382.70K,+5.96%
621,2022-05-12,106.13,105.63,107.37,102.66,323.55K,+0.40%
622,2022-05-13,110.49,106.65,110.64,106.29,240.99K,+4.11%
623,2022-05-16,114.2,110.98,114.9,108.11,289.13K,+3.36%
624,2022-05-17,112.4,113.87,115.56,111.75,252.63K,-1.58%
625,2022-05-18,109.59,113.66,115.42,108.46,103.67K,-2.50%
626,2022-05-19,112.21,109.09,112.62,105.13,68.51K,+2.39%
627,2022-05-20,113.23,111.45,114.04,110.85,20.00K,+0.91%
628,2022-05-23,110.29,110.56,111.96,109.15,215.62K,-2.60%
