,date,kospi,open,high,low,volume,kospi_cr
208,2022-11-04,2348.429931640625,2325.85009765625,2348.429931640625,2316.2900390625,436200,0.83%
209,2022-11-07,2371.7900390625,2360.219970703125,2373.280029296875,2354.219970703125,392300,0.99%
210,2022-11-08,2399.0400390625,2387.199951171875,2400.389892578125,2375.669921875,499800,1.15%
211,2022-11-09,2424.409912109375,2408.5400390625,2429.64990234375,2403.639892578125,680500,1.06%
212,2022-11-10,2402.22998046875,2405.77001953125,2426.10009765625,2401.989990234375,899000,-0.91%
213,2022-11-11,2483.159912109375,2466.89990234375,2486.4599609375,2463.510009765625,758000,3.37%
214,2022-11-14,2474.64990234375,2485.179931640625,2499.429931640625,2470.60009765625,730900,-0.34%
215,2022-11-15,2480.330078125,2482.760009765625,2485.199951171875,2463.64990234375,617100,0.23%
216,2022-11-16,2477.449951171875,2487.0,2487.0,2446.7900390625,657600,-0.12%
217,2022-11-17,2442.89990234375,2466.5,2467.389892578125,2442.89990234375,914400,-1.39%
218,2022-11-18,2444.47998046875,2448.1298828125,2471.8701171875,2442.8701171875,589500,0.06%
219,2022-11-21,2419.5,2446.050048828125,2448.139892578125,2409.360107421875,544500,-1.02%
220,2022-11-22,2405.27001953125,2405.9599609375,2426.39990234375,2401.5,539200,-0.59%
221,2022-11-23,2418.010009765625,2424.360107421875,2427.280029296875,2407.580078125,474800,0.53%
222,2022-11-24,2441.330078125,2437.510009765625,2441.330078125,2428.1201171875,481200,0.96%
223,2022-11-25,2437.860107421875,2442.2099609375,2449.659912109375,2433.570068359375,438400,-0.14%
224,2022-11-28,2408.27001953125,2425.050048828125,2425.64990234375,2401.949951171875,350100,-1.21%
225,2022-11-29,2433.389892578125,2405.5400390625,2433.8701171875,2401.10009765625,550000,1.04%
226,2022-11-30,2472.530029296875,2424.43994140625,2472.530029296875,2421.419921875,593900,1.61%
227,2022-12-01,2479.840087890625,2501.429931640625,2501.429931640625,2474.330078125,491200,0.30%
228,2022-12-02,2434.330078125,2471.5,2471.5,2434.330078125,468500,-1.84%
229,2022-12-05,2419.320068359375,2442.169921875,2442.219970703125,2413.050048828125,385200,-0.62%
230,2022-12-06,2393.159912109375,2397.699951171875,2416.8798828125,2390.199951171875,367800,-1.08%
231,2022-12-07,2382.81005859375,2385.8701171875,2394.8798828125,2377.97998046875,332100,-0.43%
232,2022-12-08,2371.080078125,2386.89990234375,2387.949951171875,2357.199951171875,351600,-0.49%
233,2022-12-09,2389.0400390625,2382.72998046875,2390.080078125,2367.25,315300,0.76%
234,2022-12-12,2373.02001953125,2373.580078125,2381.8701171875,2368.469970703125,498900,-0.67%
235,2022-12-13,2372.39990234375,2385.050048828125,2388.27001953125,2364.8701171875,447100,-0.03%
236,2022-12-14,2399.25,2380.81005859375,2400.179931640625,2379.43994140625,409400,1.13%
237,2022-12-15,2360.969970703125,2383.830078125,2392.110107421875,2360.949951171875,374300,-1.60%
238,2022-12-16,2360.02001953125,2329.75,2360.43994140625,2326.830078125,414200,-0.04%
239,2022-12-19,2352.169921875,2350.780029296875,2358.760009765625,2342.280029296875,323600,-0.33%
