,date,dji,open,high,low,volume,dji_cr
624,2024-06-21,39150.328125,39208.51171875,39257.1796875,39061.671875,818670000,0.04%
625,2024-06-24,39411.2109375,39184.48828125,39571.23046875,39184.48828125,373940000,0.67%
626,2024-06-25,39112.16015625,39398.7890625,39423.26171875,38997.23046875,339010000,-0.76%
627,2024-06-26,39127.80078125,39063.1484375,39183.73828125,38908.98828125,333100000,0.04%
628,2024-06-27,39164.05859375,39107.1015625,39250.69140625,39026.75,338010000,0.09%
629,2024-06-28,39118.859375,39092.390625,39443.6015625,38937.1484375,679630000,-0.12%
630,2024-07-01,39169.51953125,39186.19921875,39438.359375,39037.94140625,346210000,0.13%
631,2024-07-02,39331.8515625,39108.25,39340.48828125,39085.69140625,317380000,0.41%
632,2024-07-03,39308.0,39358.94921875,39411.171875,39230.859375,202070000,-0.06%
633,2024-07-05,39375.87109375,39313.3984375,39399.62109375,39168.69921875,325230000,0.17%
634,2024-07-08,39344.7890625,39391.98046875,39654.9609375,39278.4296875,358320000,-0.08%
635,2024-07-09,39291.96875,39357.37109375,39492.28125,39146.6015625,361410000,-0.13%
636,2024-07-10,39721.359375,39272.44921875,39736.19921875,39256.71875,334180000,1.09%
637,2024-07-11,39753.75,39695.1796875,39875.6015625,39623.12109375,361530000,0.08%
638,2024-07-12,40000.8984375,39783.28125,40257.23828125,39783.28125,325780000,0.62%
639,2024-07-15,40211.71875,40138.3984375,40351.1015625,40136.1015625,308880000,0.53%
640,2024-07-16,40954.48046875,40263.78125,40988.80859375,40263.78125,306390000,1.85%
641,2024-07-17,41198.078125,40862.5703125,41221.98046875,40849.7109375,433450000,0.59%
642,2024-07-18,40665.01953125,41156.55859375,41376.0,40597.5,393450000,-1.29%
643,2024-07-19,40287.53125,40592.3515625,40626.16015625,40203.26953125,348530000,-0.93%
644,2024-07-22,40415.44140625,40414.48828125,40472.53125,40222.76953125,351670000,0.32%
645,2024-07-23,40358.08984375,40443.73046875,40527.890625,40319.69921875,287390000,-0.14%
646,2024-07-24,39853.87109375,40210.62890625,40258.44140625,39807.44921875,394210000,-1.25%
647,2024-07-25,39935.0703125,39828.62890625,40438.8203125,39817.5,375790000,0.20%
648,2024-07-26,40589.33984375,40140.859375,40753.828125,40140.859375,332070000,1.64%
649,2024-07-29,40539.9296875,40665.7109375,40682.48828125,40388.828125,272200000,-0.12%
650,2024-07-30,40743.328125,40622.12890625,40866.25,40529.1015625,350910000,0.50%
651,2024-07-31,40842.7890625,40768.87890625,41198.62890625,40655.890625,420090000,0.24%
652,2024-08-01,40347.96875,40916.9609375,41096.66015625,40098.5703125,472030000,-1.21%
653,2024-08-02,39737.26171875,40075.328125,40075.328125,39358.6796875,827820000,-1.51%
654,2024-08-05,38703.26953125,39056.19140625,39056.19140625,38499.26953125,661280000,-2.60%
655,2024-08-06,38997.66015625,38736.21875,39449.53125,38638.30078125,462650000,0.76%
656,2024-08-07,38763.44921875,39230.08984375,39477.9609375,38731.51171875,428250000,-0.60%
657,2024-08-08,39446.48828125,38940.37890625,39508.3984375,38922.7890625,376440000,1.76%
658,2024-08-09,39497.5390625,39408.05859375,39628.66015625,39230.4296875,316320000,0.13%
659,2024-08-12,39357.01171875,39556.01171875,39587.05859375,39251.71875,312380000,-0.36%
660,2024-08-13,39765.640625,39445.26953125,39792.80078125,39392.41015625,365560000,1.04%
661,2024-08-14,40008.390625,39800.58984375,40068.75,39737.19921875,317800000,0.61%
662,2024-08-15,40563.05859375,40295.73828125,40590.51171875,40295.73828125,446850000,1.39%
663,2024-08-16,40659.76171875,40528.859375,40726.03125,40453.578125,323210000,0.24%
664,2024-08-19,40896.53125,40670.828125,40907.3203125,40670.828125,283890000,0.58%
