,date,ixut,open,high,low,volume,ixut_cr
224,2023-01-26,405.67999267578125,401.6400146484375,406.6199951171875,401.6400146484375,363000,0.67%
225,2023-01-27,401.5299987792969,403.2900085449219,403.92999267578125,400.19000244140625,221500,-1.02%
226,2023-01-30,398.989990234375,398.20001220703125,401.1700134277344,397.7200012207031,158900,-0.63%
227,2023-01-31,402.2099914550781,399.8999938964844,402.3900146484375,399.05999755859375,158900,0.81%
228,2023-02-01,407.260009765625,399.6099853515625,410.05999755859375,398.07000732421875,156500,1.26%
229,2023-02-02,411.8699951171875,407.04998779296875,412.7300109863281,404.7799987792969,166700,1.13%
230,2023-02-03,404.42999267578125,408.2799987792969,408.4700012207031,402.739990234375,167200,-1.81%
231,2023-02-06,397.7799987792969,399.3399963378906,400.2699890136719,396.82000732421875,132000,-1.64%
232,2023-02-07,399.6000061035156,394.9700012207031,400.6400146484375,393.0899963378906,133600,0.46%
233,2023-02-08,395.3500061035156,396.4100036621094,397.4200134277344,393.5199890136719,119100,-1.06%
234,2023-02-09,390.2900085449219,399.2099914550781,399.3699951171875,389.8699951171875,174800,-1.28%
235,2023-02-10,393.5199890136719,390.45001220703125,393.69000244140625,389.8299865722656,90000,0.83%
236,2023-02-13,399.510009765625,394.5299987792969,399.8699951171875,394.260009765625,133900,1.52%
237,2023-02-14,399.9200134277344,397.94000244140625,401.3299865722656,395.1400146484375,102200,0.10%
238,2023-02-15,403.8399963378906,397.9200134277344,403.9599914550781,397.5400085449219,127200,0.98%
239,2023-02-16,409.29998779296875,403.8599853515625,412.8699951171875,403.3999938964844,176400,1.35%
240,2023-02-17,409.19000244140625,409.8900146484375,410.7699890136719,406.6600036621094,113400,-0.03%
241,2023-02-21,398.489990234375,405.07000732421875,405.29998779296875,398.3699951171875,168300,-2.61%
242,2023-02-22,399.0,398.67999267578125,400.7300109863281,396.5299987792969,113100,0.13%
243,2023-02-23,396.45001220703125,398.20001220703125,399.05999755859375,391.6300048828125,122300,-0.64%
