,date,kosdaq,open,high,low,volume,kosdaq_cr
253,2022-12-28,692.37,699.24,699.39,691.01,834.83M,-1.68
254,2022-12-29,679.29,691.35,693.12,675.8,952.16M,-1.89
255,2023-01-02,671.51,683.84,688.77,670.38,742.77M,-1.15
256,2023-01-03,674.95,672.18,675.75,660.32,935.98M,0.51
257,2023-01-04,683.67,670.18,683.67,667.3,901.76M,1.29
258,2023-01-05,679.92,685.78,688.35,677.77,885.28M,-0.55
259,2023-01-06,688.94,677.28,691.17,676.4,818.51M,1.33
260,2023-01-09,701.21,695.02,701.21,695.02,1.01B,1.78
261,2023-01-10,696.05,700.16,704.6,694.92,1.16B,-0.74
262,2023-01-11,709.77,701.29,710.29,701.29,1.25B,1.97
263,2023-01-12,710.82,713.56,714.1,707.54,1.25B,0.15
264,2023-01-13,711.82,712.24,714.75,709.26,1.08B,0.14
265,2023-01-16,716.89,714.71,718.15,713.19,1.23B,0.71
266,2023-01-17,709.71,716.7,718.9,708.54,1.16B,-1.0
267,2023-01-18,711.75,711.12,713.28,708.79,1.18B,0.29
268,2023-01-19,712.89,707.66,712.94,705.76,1.01B,0.16
269,2023-01-20,717.97,712.32,718.03,712.32,1.01B,0.71
270,2023-01-25,732.35,725.23,732.42,725.23,1.02B,2.0
271,2023-01-26,738.94,734.37,740.99,733.23,1.21B,0.9
272,2023-01-27,741.25,741.2,742.07,737.9,1.14B,0.31
273,2023-01-30,738.62,743.73,746.33,736.9,1.05B,-0.35
274,2023-01-31,740.49,735.19,740.98,732.33,975.26M,0.25
275,2023-02-01,750.96,744.9,752.5,744.03,1.07B,1.41
276,2023-02-02,764.62,759.53,764.84,758.72,1.22B,1.82
277,2023-02-03,766.79,765.37,768.03,761.82,1.14B,0.28
278,2023-02-06,761.33,763.66,766.23,760.65,1.19B,-0.71
279,2023-02-07,772.79,762.47,773.79,762.3,1.26B,1.51
280,2023-02-08,779.98,777.43,779.98,776.3,1.46B,0.93
281,2023-02-09,784.58,776.6,784.64,776.26,1.41B,0.59
282,2023-02-10,772.44,783.07,784.52,771.62,1.31B,-1.55
283,2023-02-13,772.55,771.5,774.08,767.64,1.20B,0.01
284,2023-02-14,779.58,778.05,780.13,774.61,1.27B,0.91
285,2023-02-15,765.46,782.55,784.38,763.81,1.42B,-1.81
286,2023-02-16,784.71,772.17,784.71,772.16,1.24B,2.51
287,2023-02-17,775.62,775.03,780.78,772.96,862.50M,-1.16
288,2023-02-20,788.89,777.68,789.26,773.86,889.52M,1.71
289,2023-02-21,793.42,789.45,793.42,786.48,1.02B,0.57
290,2023-02-22,778.51,782.83,787.85,774.54,1.13B,-1.88
291,2023-02-23,783.28,782.18,784.59,774.1,927.83M,0.61
292,2023-02-24,778.88,784.94,786.09,774.21,1.19B,-0.56
293,2023-02-27,780.3,775.01,781.54,769.75,1.15B,0.18
294,2023-02-28,791.6,784.23,793.65,783.66,1.01B,1.45
295,2023-03-02,787.19,793.63,797.01,786.52,1.02B,-0.56
296,2023-03-03,802.42,792.9,802.45,792.61,1.10B,1.93
297,2023-03-06,816.51,810.61,816.62,804.47,1.11B,1.76
298,2023-03-07,815.76,814.27,818.56,810.47,1.39B,-0.09
299,2023-03-08,813.95,809.14,817.17,807.95,1.26B,-0.22
300,2023-03-09,809.22,817.03,817.12,801.1,1.37B,-0.58
301,2023-03-10,788.6,796.57,798.96,785.66,1.20B,-2.55
302,2023-03-13,788.89,784.02,789.18,771.03,1.18B,0.04
303,2023-03-14,758.05,788.44,789.22,758.05,1.14B,-3.91
304,2023-03-15,781.17,774.53,784.59,773.65,1.03B,3.05
305,2023-03-16,781.98,780.53,785.54,767.11,1.11B,0.1
306,2023-03-17,797.39,791.18,798.62,785.98,1.15B,1.97
307,2023-03-20,802.2,793.04,803.42,791.45,1.10B,0.6
308,2023-03-21,802.53,806.51,809.33,802.42,1.06B,0.04
309,2023-03-22,813.43,811.17,813.43,807.91,1.12B,1.36
310,2023-03-23,812.19,807.53,824.2,806.4,1.18B,-0.15
311,2023-03-24,824.11,820.16,824.11,814.07,1.29B,1.47
312,2023-03-27,827.69,827.95,829.18,817.81,1.18B,0.43
313,2023-03-28,833.51,831.07,833.68,825.4,1.22B,0.7
314,2023-03-29,843.94,833.9,843.94,832.44,1.31B,1.25
315,2023-03-30,850.48,850.78,852.59,846.1,1.50B,0.77
316,2023-03-31,847.52,849.98,851.13,842.61,1.28B,-0.35
317,2023-04-03,854.96,850.86,855.2,847.7,1.15B,0.88
318,2023-04-04,857.18,853.92,861.13,852.02,1.31B,0.26
319,2023-04-05,872.36,857.54,872.44,856.15,1.50B,1.77
320,2023-04-06,865.58,869.65,869.94,859.13,1.42B,-0.78
321,2023-04-07,880.07,871.83,880.07,866.58,1.67B,1.67
322,2023-04-10,887.78,882.75,890.96,877.31,1.59B,0.88
323,2023-04-11,898.94,893.2,899.37,879.73,1.56B,1.26
324,2023-04-12,890.62,897.11,900.83,888.63,1.99B,-0.93
325,2023-04-13,894.25,885.5,895.29,875.42,1.70B,0.41
326,2023-04-14,903.84,902.56,906.69,900.7,1.46B,1.07
327,2023-04-17,909.5,905.35,909.5,898.84,1.54B,0.63
328,2023-04-18,909.02,910.75,910.75,902.9,1.97B,-0.05
329,2023-04-19,909.2,908.87,913.97,907.59,1.88B,0.02
330,2023-04-20,885.71,905.81,906.0,884.33,2.32B,-2.58
331,2023-04-21,868.82,884.27,888.21,868.36,2.02B,-1.91
332,2023-04-24,855.23,867.38,870.08,852.48,1.31B,-1.56
333,2023-04-25,838.71,857.54,858.91,828.25,1.54B,-1.93
334,2023-04-26,830.44,835.94,846.42,829.19,1.26B,-0.99
335,2023-04-27,850.21,831.89,850.88,823.19,1.46B,2.38
336,2023-04-28,842.83,860.11,860.11,839.67,1.16B,-0.87
337,2023-05-02,855.61,845.18,855.61,844.68,1.03B,1.52
338,2023-05-03,843.18,848.05,852.23,841.81,1.17B,-1.45
339,2023-05-04,845.06,842.13,847.69,839.08,1.19B,0.22
340,2023-05-08,842.28,851.52,854.32,842.07,1.27B,-0.33
341,2023-05-09,835.85,841.41,843.4,827.78,1.18B,-0.76
342,2023-05-10,829.74,836.02,839.86,827.88,1.32B,-0.73
343,2023-05-11,824.54,836.6,840.66,821.94,1.75B,-0.63
344,2023-05-12,822.43,824.11,828.14,820.24,1.69B,-0.26
345,2023-05-15,814.53,820.5,820.5,806.47,1.28B,-0.96
346,2023-05-16,816.75,818.96,822.64,813.32,1.37B,0.27
347,2023-05-17,834.19,815.58,834.2,814.65,1.27B,2.14
348,2023-05-18,835.89,839.27,841.1,833.73,1.32B,0.2
349,2023-05-19,841.72,839.56,842.21,836.68,1.31B,0.7
350,2023-05-22,852.04,840.97,852.33,837.49,1.09B,1.23
351,2023-05-23,859.16,853.57,861.3,853.57,1.27B,0.84
352,2023-05-24,855.46,856.25,857.84,853.0,1.15B,-0.43
353,2023-05-25,847.72,857.3,860.01,845.84,1.25B,-0.9
354,2023-05-26,843.23,849.8,853.06,842.17,1.18B,-0.53
355,2023-05-30,851.5,850.0,851.53,844.48,1.23B,0.98
356,2023-05-31,856.94,851.37,860.3,850.88,1.07B,0.64
357,2023-06-01,863.78,855.95,863.86,855.46,982.02M,0.8
358,2023-06-02,868.06,866.16,868.17,864.97,1.11B,0.5
359,2023-06-05,870.28,871.05,872.95,865.13,1.05B,0.26
360,2023-06-07,880.72,872.1,880.81,872.1,1.09B,1.2
361,2023-06-08,876.13,878.86,879.44,871.5,1.12B,-0.52
362,2023-06-09,883.71,882.11,886.52,880.76,1.07B,0.87
363,2023-06-12,885.76,887.2,887.2,881.76,1.01B,0.23
364,2023-06-13,896.81,890.81,898.28,889.58,1.12B,1.25
365,2023-06-14,871.83,899.35,899.85,870.48,1.34B,-2.79
366,2023-06-15,878.04,877.62,884.55,865.48,1.12B,0.71
367,2023-06-16,887.95,882.45,888.27,878.99,949.46M,1.13
368,2023-06-19,888.61,888.52,889.49,881.14,1.15B,0.07
