,date,ixic_f,open,high,low,volume,ixic_f_cr
303,2023-03-09,12007.25,12231.0,12353.5,11977.5,816838,-1.81%
304,2023-03-10,11840.25,12005.0,12109.0,11795.0,871209,-1.39%
305,2023-03-13,11931.75,11894.75,12095.75,11674.25,694438,0.77%
306,2023-03-14,12207.0,11960.0,12223.0,11921.75,364395,2.31%
307,2023-03-15,12247.75,12200.75,12280.0,11972.0,261341,0.33%
308,2023-03-16,12583.0,12264.5,12600.5,12189.25,181754,2.74%
309,2023-03-17,12594.650390625,12575.75,12636.5,12531.75,734052,0.09%
310,2023-03-20,12688.5,12690.0,12750.0,12525.25,694471,0.75%
311,2023-03-21,12867.25,12699.75,12898.25,12676.5,565860,1.41%
312,2023-03-22,12707.0,12873.25,13082.0,12678.0,713083,-1.25%
313,2023-03-23,12854.0,12695.0,13031.0,12694.25,838385,1.16%
314,2023-03-24,12890.25,12871.5,12924.75,12728.0,676547,0.28%
315,2023-03-27,12788.5,12916.0,12984.5,12765.5,562634,-0.79%
316,2023-03-28,12732.5,12810.5,12833.5,12634.25,537965,-0.44%
317,2023-03-29,12965.0,12745.5,12994.0,12742.0,566316,1.83%
318,2023-03-30,13082.0,12962.5,13111.75,12931.5,583151,0.90%
319,2023-03-31,13301.75,13084.25,13311.5,13057.5,624955,1.68%
320,2023-04-03,13270.0,13262.0,13278.75,13154.0,542896,-0.24%
321,2023-04-04,13219.0,13259.0,13348.75,13168.25,577032,-0.38%
322,2023-04-05,13079.75,13230.0,13247.25,13006.0,594608,-1.05%
323,2023-04-06,13170.75,13072.75,13191.0,12953.25,41224,0.70%
324,2023-04-10,13158.0,13179.75,13203.25,12967.5,553003,-0.10%
325,2023-04-11,13074.75,13163.25,13208.75,13053.5,549047,-0.63%
326,2023-04-12,12952.25,13073.75,13241.75,12937.75,684779,-0.94%
327,2023-04-13,13209.75,12957.0,13228.0,12925.5,558233,1.99%
328,2023-04-14,13181.25,13183.0,13255.0,13058.0,627824,-0.22%
329,2023-04-17,13186.5,13212.5,13218.0,13076.75,540742,0.04%
330,2023-04-18,13193.0,13184.0,13298.75,13138.0,576668,0.05%
331,2023-04-19,13183.0,13170.5,13226.75,13065.0,529506,-0.08%
332,2023-04-20,13074.25,13162.0,13200.0,13021.75,680299,-0.82%
333,2023-04-21,13090.5,13089.0,13122.0,12982.5,593982,0.12%
334,2023-04-24,13056.5,13070.0,13134.0,12967.25,582286,-0.26%
335,2023-04-25,12809.5,13050.25,13059.5,12800.0,694266,-1.89%
336,2023-04-26,12887.75,12940.0,13012.25,12863.75,755124,0.61%
337,2023-04-27,13231.25,12965.0,13333.0,12936.0,728241,2.67%
338,2023-04-28,13320.25,13215.0,13336.0,13169.0,671058,0.67%
339,2023-05-01,13306.75,13317.0,13370.25,13258.75,487908,-0.10%
340,2023-05-02,13184.5,13290.0,13334.75,13110.25,664855,-0.92%
341,2023-05-03,13100.75,13162.0,13314.0,13080.0,648753,-0.64%
342,2023-05-04,13043.75,13064.0,13173.0,13001.75,656440,-0.44%
343,2023-05-05,13317.75,13060.0,13359.0,13055.75,573291,2.10%
344,2023-05-08,13352.25,13316.0,13368.0,13254.5,506054,0.26%
345,2023-05-09,13264.75,13338.5,13347.0,13250.5,552248,-0.66%
346,2023-05-10,13409.5,13258.75,13446.75,13202.75,839699,1.09%
347,2023-05-11,13446.5,13410.0,13470.25,13361.5,653399,0.28%
348,2023-05-12,13396.25,13446.0,13494.25,13310.5,628035,-0.37%
349,2023-05-15,13468.0,13378.75,13480.0,13350.0,495940,0.54%
350,2023-05-16,13483.25,13461.0,13554.5,13426.25,561834,0.11%
351,2023-05-17,13643.5,13498.5,13669.0,13474.25,621137,1.19%
352,2023-05-18,13894.0,13640.5,13913.0,13628.25,749496,1.84%
353,2023-05-19,13858.0,13908.5,13960.25,13814.25,659819,-0.26%
354,2023-05-22,13902.5,13805.5,13946.75,13794.25,538203,0.32%
355,2023-05-23,13728.75,13913.25,13979.25,13710.0,658680,-1.25%
356,2023-05-24,13650.25,13729.0,13845.75,13566.5,704804,-0.57%
357,2023-05-25,13976.5,13877.0,14031.25,13803.0,819148,2.39%
358,2023-05-26,14332.5,13977.75,14369.0,13924.5,729047,2.55%
359,2023-05-30,14396.75,14437.5,14570.0,14336.75,729047,0.45%
360,2023-05-31,14299.75,14289.5,14301.5,14284.75,4180,-0.67%
