,date,dji_f,open,high,low,volume,dji_f_cr
152,2022-08-03,32770.0,32420.0,32873.0,32342.0,161494,1.25%
153,2022-08-04,32681.0,32746.0,32866.0,32601.0,132259,-0.27%
154,2022-08-05,32757.0,32688.0,32786.0,32431.0,175484,0.23%
155,2022-08-08,32792.0,32750.0,33065.0,32665.0,181497,0.11%
156,2022-08-09,32737.0,32857.0,32881.0,32662.0,145113,-0.17%
157,2022-08-10,33260.0,32768.0,33331.0,32678.0,176366,1.60%
158,2022-08-11,33304.0,33299.0,33625.0,33255.0,172618,0.13%
159,2022-08-12,33718.0,33360.0,33728.0,33295.0,136090,1.24%
160,2022-08-15,33873.0,33708.0,33924.0,33485.0,128489,0.46%
161,2022-08-16,34118.0,33849.0,34246.0,33786.0,138293,0.72%
162,2022-08-17,33963.0,34127.0,34177.0,33804.0,163823,-0.45%
163,2022-08-18,33981.0,33994.0,34056.0,33823.0,123706,0.05%
164,2022-08-19,33706.0,34003.0,34009.0,33616.0,139450,-0.81%
165,2022-08-22,33056.0,33620.0,33654.0,33001.0,145280,-1.93%
166,2022-08-23,32901.0,33103.0,33177.0,32844.0,152939,-0.47%
167,2022-08-24,32958.0,32901.0,33084.0,32753.0,146025,0.17%
168,2022-08-25,33273.0,32955.0,33290.0,32872.0,166899,0.96%
169,2022-08-26,32263.0,33236.0,33444.0,32156.0,202971,-3.04%
170,2022-08-29,32075.0,32040.0,32301.0,31926.0,182592,-0.58%
171,2022-08-30,31775.0,32105.0,32347.0,31616.0,189782,-0.94%
172,2022-08-31,31532.0,31792.0,32002.0,31501.0,194244,-0.76%
173,2022-09-01,31663.0,31555.0,31678.0,31221.0,209858,0.42%
174,2022-09-02,31312.0,31646.0,32029.0,31182.0,205421,-1.11%
175,2022-09-06,31166.0,31345.0,31592.0,31042.0,238781,-0.47%
176,2022-09-07,31577.0,31153.0,31644.0,30975.0,142785,1.32%
177,2022-09-08,31766.0,31574.0,31809.0,31303.0,172330,0.60%
178,2022-09-09,32164.0,31807.0,32233.0,31769.0,101779,1.25%
179,2022-09-12,32386.0,32210.0,32505.0,32137.0,73224,0.69%
180,2022-09-13,31103.0,32434.0,32667.0,31020.0,85202,-3.96%
181,2022-09-14,31149.0,31159.0,31285.0,30892.0,52590,0.15%
182,2022-09-15,30974.0,31190.0,31281.0,30882.0,34961,-0.56%
183,2022-09-16,30645.19921875,30834.0,30855.0,30535.0,186385,-1.06%
184,2022-09-19,31117.0,30948.0,31183.0,30590.0,155409,1.54%
185,2022-09-20,30801.0,31145.0,31256.0,30558.0,180448,-1.02%
186,2022-09-21,30282.0,30836.0,31132.0,30202.0,246932,-1.69%
187,2022-09-22,30149.0,30228.0,30494.0,30048.0,206732,-0.44%
188,2022-09-23,29669.0,30216.0,30240.0,29315.0,217028,-1.59%
189,2022-09-26,29343.0,29645.0,29736.0,29227.0,210692,-1.10%
190,2022-09-27,29203.0,29339.0,29729.0,29019.0,200401,-0.48%
191,2022-09-28,29750.0,29250.0,29883.0,28886.0,232854,1.87%
192,2022-09-29,29285.0,29754.0,29783.0,29047.0,191743,-1.56%
193,2022-09-30,28801.0,29264.0,29549.0,28767.0,217646,-1.65%
194,2022-10-03,29538.0,28767.0,29702.0,28635.0,194800,2.56%
195,2022-10-04,30365.0,29583.0,30399.0,29500.0,176364,2.80%
196,2022-10-05,30310.0,30356.0,30513.0,29933.0,154462,-0.18%
197,2022-10-06,29982.0,30323.0,30484.0,29904.0,166097,-1.08%
198,2022-10-07,29353.0,29944.0,30111.0,29188.0,158672,-2.10%
199,2022-10-10,29260.0,29278.0,29539.0,29055.0,171595,-0.32%
200,2022-10-11,29266.0,29262.0,29659.0,28946.0,203441,0.02%
201,2022-10-12,29261.0,29316.0,29526.0,29177.0,169919,-0.02%
202,2022-10-13,30091.0,29312.0,30215.0,28671.0,299085,2.84%
203,2022-10-14,29708.0,30091.0,30480.0,29650.0,242084,-1.27%
204,2022-10-17,30230.0,29658.0,30361.0,29640.0,160666,1.76%
205,2022-10-18,30576.0,30333.0,30877.0,30333.0,217313,1.14%
206,2022-10-19,30460.0,30711.0,30818.0,30254.0,183779,-0.38%
207,2022-10-20,30353.0,30525.0,30857.0,30287.0,204712,-0.35%
208,2022-10-21,31123.0,30409.0,31197.0,30102.0,252167,2.54%
209,2022-10-24,31545.0,31190.0,31640.0,30922.0,213833,1.36%
210,2022-10-25,31877.0,31509.0,31917.0,31346.0,184767,1.05%
211,2022-10-26,31872.0,31826.0,32211.0,31744.0,189237,-0.02%
212,2022-10-27,32074.0,31951.0,32421.0,31871.0,229318,0.63%
213,2022-10-28,32896.0,32043.0,33002.0,31884.0,230001,2.56%
214,2022-10-31,32775.0,32920.0,32941.0,32617.0,201242,-0.37%
215,2022-11-01,32685.0,32769.0,33026.0,32510.0,224690,-0.27%
216,2022-11-02,32178.0,32657.0,33106.0,32121.0,260433,-1.55%
217,2022-11-03,32017.0,32186.0,32273.0,31738.0,199602,-0.50%
218,2022-11-04,32428.0,31995.0,32632.0,31870.0,276671,1.28%
219,2022-11-07,32838.0,32272.0,32904.0,32113.0,184169,1.26%
220,2022-11-08,33175.0,32814.0,33366.0,32766.0,223719,1.03%
221,2022-11-09,32527.0,33113.0,33225.0,32487.0,217271,-1.95%
222,2022-11-10,33712.0,32535.0,33800.0,32450.0,260408,3.64%
223,2022-11-11,33763.0,33796.0,33982.0,33409.0,229775,0.15%
224,2022-11-14,33561.0,33645.0,33981.0,33550.0,178089,-0.60%
225,2022-11-15,33605.0,33628.0,34026.0,33324.0,257569,0.13%
226,2022-11-16,33591.0,33569.0,33733.0,33471.0,178326,-0.04%
227,2022-11-17,33581.0,33675.0,33732.0,33189.0,170670,-0.03%
228,2022-11-18,33775.0,33581.0,33855.0,33469.0,162980,0.58%
229,2022-11-21,33735.0,33762.0,33899.0,33585.0,144240,-0.12%
230,2022-11-22,34126.0,33734.0,34138.0,33658.0,142859,1.16%
231,2022-11-23,34211.0,34134.0,34277.0,34015.0,161911,0.25%
232,2022-11-25,34356.0,34255.0,34393.0,34206.0,98196,0.42%
233,2022-11-28,33871.0,34300.0,34321.0,33805.0,177639,-1.41%
234,2022-11-29,33857.0,33872.0,33993.0,33668.0,173499,-0.04%
235,2022-11-30,34599.0,33866.0,34647.0,33623.0,285453,2.19%
236,2022-12-01,34429.0,34616.0,34707.0,34157.0,246223,-0.49%
237,2022-12-02,34459.0,34403.0,34528.0,33935.0,217679,0.09%
238,2022-12-05,33986.0,34440.0,34463.0,33883.0,170593,-1.37%
239,2022-12-06,33633.0,34007.0,34084.0,33452.0,196313,-1.04%
240,2022-12-07,33625.0,33638.0,33818.0,33462.0,187115,-0.02%
241,2022-12-08,33803.0,33621.0,33931.0,33482.0,163237,0.53%
242,2022-12-09,33498.0,33791.0,33960.0,33478.0,135309,-0.90%
